year,fall,mass
1990-01-01,Fell,44276.325
1990-01-01,Found,508.3347163995068
1991-01-01,Fell,27186.140000000003
1991-01-01,Found,708.8113436692506
1992-01-01,Fell,56316.666666666664
1992-01-01,Found,7191.786377440347
1993-01-01,Fell,14866.5
1993-01-01,Found,100.88506300114548
1994-01-01,Fell,15751.5
1994-01-01,Found,837.2760319878141
1995-01-01,Fell,22923.333333333332
1995-01-01,Found,2622.111298449612
1996-01-01,Fell,11199.86
1996-01-01,Found,605.0176835236542
1997-01-01,Fell,34284.933333333334
1997-01-01,Found,450.13041922290387
1998-01-01,Fell,153396.67777777778
1998-01-01,Found,204.70148104601662
1999-01-01,Fell,5345.057142857143
1999-01-01,Found,439.5515184794087
2000-01-01,Fell,5444.333333333333
2000-01-01,Found,3102.4721502029774
2001-01-01,Fell,9900.0
2001-01-01,Found,1145.0003312051078
2002-01-01,Fell,15332.0
2002-01-01,Found,1121.8624872579
2003-01-01,Fell,9217.433333333332
2003-01-01,Found,569.5295407407408
2004-01-01,Fell,5978.166666666667
2004-01-01,Found,2664.4560960854096
2005-01-01,Found,2172.607052498419
2006-01-01,Fell,8844.6
2006-01-01,Found,2254.657648456057
2007-01-01,Fell,21944.80125
2007-01-01,Found,455.8644935354436
2008-01-01,Fell,30941.444444444445
2008-01-01,Found,1318.879697171381
2009-01-01,Fell,3109.31
2009-01-01,Found,981.7391153573956
2010-01-01,Fell,2056.3733333333334
2010-01-01,Found,613.8642292225202
2011-01-01,Fell,6466.25
2011-01-01,Found,1107.7502831050228
2012-01-01,Fell,1946.25
2012-01-01,Found,970.3073522975931
