"name","id","nametype","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Abee",6,"Valid","EH4",107000,"Fell",1952,54.21667,-113,"""(54.216670, -113.000000)"""
"Alfianello",466,"Valid","L6",228000,"Fell",1883,45.26667,10.15,"""(45.266670, 10.150000)"""
"Allende",2278,"Valid","CV3",2000000,"Fell",1969,26.96667,-105.31667,"""(26.966670, -105.316670)"""
"Bjurböle",5064,"Valid","L/LL4",330000,"Fell",1899,60.4,25.8,"""(60.400000, 25.800000)"""
"Boguslavka",5098,"Valid","""Iron, IIAB""",256000,"Fell",1916,44.55,131.63333,"""(44.550000, 131.633330)"""
"Bruderheim",5156,"Valid","L6",303000,"Fell",1960,53.9,-112.88333,"""(53.900000, -112.883330)"""
"Bur-Gheluai",5169,"Valid","H5",120000,"Fell",1919,5,48,"""(5.000000, 48.000000)"""
"Chelyabinsk",57165,"Valid","LL5",100000,"Fell",2013,54.81667,61.11667,"""(54.816670, 61.116670)"""
"Chergach ",47347,"Valid","H5",100000,"Fell",2007,23.69639,-5.01472,"""(23.696390, -5.014720)"""
"Colby (Wisconsin)",5395,"Valid","L6",104000,"Fell",1917,44.9,-90.28333,"""(44.900000, -90.283330)"""
"Djati-Pengilon",7652,"Valid","H6",166000,"Fell",1884,-7.5,111.5,"""(-7.500000, 111.500000)"""
"Dong Ujimqin Qi",7706,"Valid","Mesosiderite",128800,"Fell",1995,45.5,119.03333,"""(45.500000, 119.033330)"""
"Elbogen",7823,"Valid","""Iron, IID""",107000,"Fell",1399,50.18333,12.73333,"""(50.183330, 12.733330)"""
"Ensisheim",10039,"Valid","LL6",127000,"Fell",1491,47.86667,7.35,"""(47.866670, 7.350000)"""
"Estherville",10059,"Valid","Mesosiderite-A3/4",320000,"Fell",1879,43.41667,-94.83333,"""(43.416670, -94.833330)"""
"Forest City",10119,"Valid","H5",152000,"Fell",1890,43.25,-93.66667,"""(43.250000, -93.666670)"""
"Glasatovo",10926,"Valid","H4",152000,"Fell",1918,57.35,37.61667,"""(57.350000, 37.616670)"""
"Gujba",11449,"Valid","CBa",100000,"Fell",1984,11.49167,11.65833,"""(11.491670, 11.658330)"""
"Holbrook",11894,"Valid","L/LL6",220000,"Fell",1912,34.9,-110.18333,"""(34.900000, -110.183330)"""
"Homestead",11901,"Valid","L5",230000,"Fell",1875,41.8,-91.86667,"""(41.800000, -91.866670)"""
"Jianshi",12087,"Valid","""Iron, IIIAB""",600000,"Fell",1890,30.80833,109.5,"""(30.808330, 109.500000)"""
"Jilin",12171,"Valid","H5",4000000,"Fell",1976,44.05,126.16667,"""(44.050000, 126.166670)"""
"Juancheng",12203,"Valid","H5",100000,"Fell",1997,35.5,115.41667,"""(35.500000, 115.416670)"""
"Kainsaz",12229,"Valid","CO3.2",200000,"Fell",1937,55.43333,53.25,"""(55.433330, 53.250000)"""
"Kesen",12286,"Valid","H4",135000,"Fell",1850,38.98333,141.61667,"""(38.983330, 141.616670)"""
"Kidairat",12300,"Valid","H6",100000,"Fell",1983,14,28,"""(14.000000, 28.000000)"""
"Knyahinya",12335,"Valid","L/LL5",500000,"Fell",1866,48.9,22.4,"""(48.900000, 22.400000)"""
"Kunashak",12377,"Valid","L6",200000,"Fell",1949,55.78333,61.36667,"""(55.783330, 61.366670)"""
"Kunya-Urgench",12379,"Valid","H5",1100000,"Fell",1998,42.25,59.2,"""(42.250000, 59.200000)"""
"Mbale",15455,"Valid","L5/6",150000,"Fell",1992,1.06667,34.16667,"""(1.066670, 34.166670)"""
"Millbillillie",16643,"Valid","Eucrite-mmict",330000,"Fell",1960,-26.45,120.36667,"""(-26.450000, 120.366670)"""
"Mocs",16709,"Valid","L5-6",300000,"Fell",1882,46.8,24.03333,"""(46.800000, 24.033330)"""
"Molina",16715,"Valid","H5",144000,"Fell",1858,38.11667,-1.16667,"""(38.116670, -1.166670)"""
"Montferré",16727,"Valid","H5",149000,"Fell",1923,43.39056,1.9625,"""(43.390560, 1.962500)"""
"Mount Tazerzait",16804,"Valid","L5",110000,"Fell",1991,18.7,4.8,"""(18.700000, 4.800000)"""
"Murchison",16875,"Valid","CM2",100000,"Fell",1969,-36.61667,145.2,"""(-36.616670, 145.200000)"""
"New Concord",16953,"Valid","L6",230000,"Fell",1860,40,-81.76667,"""(40.000000, -81.766670)"""
"Norton County",17922,"Valid","Aubrite",1100000,"Fell",1948,39.68333,-99.86667,"""(39.683330, -99.866670)"""
"Ochansk",17979,"Valid","H4",500000,"Fell",1887,57.78333,55.26667,"""(57.783330, 55.266670)"""
"Olivenza",18013,"Valid","LL5",150000,"Fell",1924,38.71667,-7.06667,"""(38.716670, -7.066670)"""
"Omolon",18019,"Valid","""Pallasite, PMG""",250000,"Fell",1981,64.02,161.80833,"""(64.020000, 161.808330)"""
"Paragould",18101,"Valid","LL5",408000,"Fell",1930,36.06667,-90.5,"""(36.066670, -90.500000)"""
"Paranaiba",18103,"Valid","L6",100000,"Fell",1956,-19.13333,-51.66667,"""(-19.133330, -51.666670)"""
"Pultusk",18901,"Valid","H5",250000,"Fell",1868,52.76667,21.26667,"""(52.766670, 21.266670)"""
"Putinga",18905,"Valid","L6",300000,"Fell",1937,-29.03333,-53.05,"""(-29.033330, -53.050000)"""
"Saint-Séverin",23102,"Valid","LL6",271000,"Fell",1966,45.3,0.23333,"""(45.300000, 0.233330)"""
"Saratov",23176,"Valid","L4",200000,"Fell",1918,52.55,46.55,"""(52.550000, 46.550000)"""
"Sevrukovo",23509,"Valid","L5",101000,"Fell",1874,50.61667,36.6,"""(50.616670, 36.600000)"""
"Sikhote-Alin",23593,"Valid","""Iron, IIAB""",23000000,"Fell",1947,46.16,134.65333,"""(46.160000, 134.653330)"""
"Sterlitamak",23724,"Valid","""Iron, IIIAB""",325000,"Fell",1990,53.66667,55.98333,"""(53.666670, 55.983330)"""
"Suizhou",23738,"Valid","L6",260000,"Fell",1986,31.61667,113.46667,"""(31.616670, 113.466670)"""
"Sulagiri",48951,"Valid","LL6",110000,"Fell",2008,12.66667,78.03333,"""(12.666670, 78.033330)"""
"Tamdakht",48691,"Valid","H5",100000,"Fell",2008,31.16333,-7.015,"""(31.163330, -7.015000)"""
"Tenham",23897,"Valid","L6",160000,"Fell",1879,-25.73333,142.95,"""(-25.733330, 142.950000)"""
"Udei Station",24101,"Valid","""Iron, IAB-ung""",103000,"Fell",1927,7.95,8.08333,"""(7.950000, 8.083330)"""
"Weston",24249,"Valid","H4",150000,"Fell",1807,41.266667,-73.266667,"""(41.266667, -73.266667)"""
"Wiluna",24281,"Valid","H5",150000,"Fell",1967,-26.59278,120.32833,"""(-26.592780, 120.328330)"""
